date,home_team,away_team,rank_diff_inv,rating_diff,form_diff,h_inv_rank,h_squad_rating,h_recent_form,squad_rank_interaction,rating_delta_form,target
2023-03-25,Myanmar,Kyrgyz Republic,-65.0,0,-0.8,53.0,70,0.2,3710.0,0.0,0
2023-03-25,Thailand,Syria,-21.0,0,2.0,101.0,70,2.0,7070.0,0.0,0
2023-03-25,United Arab Emirates,Tajikistan,38.0,0,0.0,142.0,70,1.0,9940.0,0.0,0
2023-03-25,Scotland,Cyprus,68.0,6,0.0,170.0,76,1.0,12920.0,6.0,1
2023-03-25,Spain,Norway,33.0,6,0.0,202.0,84,1.0,16968.0,6.0,1
2023-03-25,Croatia,Wales,21.0,12,0.0,205.0,82,1.0,16810.0,12.0,0
2023-03-25,Armenia,Turkey,5.0,-7,0.0,117.0,70,1.0,8190.0,-7.0,0
2023-03-25,Belarus,Switzerland,-85.0,-9,0.0,115.0,70,1.0,8050.0,-9.0,0
2023-03-25,Israel,Kosovo,31.0,0,0.0,136.0,70,1.0,9520.0,0.0,0
2023-03-25,Andorra,Romania,-101.0,0,0.0,59.0,70,1.0,4130.0,0.0,0
2023-03-25,Martinique,Costa Rica,-68.0,0,0.0,112.0,70,1.0,7840.0,0.0,0
2023-03-25,Curaçao,Canada,-33.0,-7,0.0,126.0,68,1.0,8568.0,-7.0,0
2023-03-25,Bermuda,Guyana,2.0,0,0.0,43.0,70,1.0,3010.0,0.0,0
2023-03-25,Montserrat,Haiti,-92.0,2,0.0,33.0,70,1.0,2310.0,2.0,0
2023-03-25,Sint Maarten,Bonaire,0.0,0,-1.0,112.0,70,0.0,7840.0,0.0,1
2023-03-25,Turks and Caicos Islands,United States Virgin Islands,-106.0,0,0.0,6.0,70,1.0,420.0,0.0,1
2023-03-26,Fiji,Solomon Islands,-27.0,0,-3.0,49.0,70,0.0,3430.0,0.0,0
2023-03-26,Macau,Singapore,-22.0,0,-0.6000000000000001,30.0,70,1.0,2100.0,0.0,0
2023-03-26,New Zealand,China PR,-25.0,-1,0.0,107.0,69,1.0,7383.0,-1.0,1
2023-03-26,Russia,Iraq,31.0,-1,-1.6,175.0,70,1.0,12250.0,-1.0,1
2023-03-26,São Tomé and Príncipe,Sierra Leone,-70.0,0,0.0,26.0,70,1.0,1820.0,0.0,0
2023-03-26,Lesotho,Zambia,-59.0,0,-3.0,65.0,70,0.0,4550.0,0.0,0
2023-03-26,England,Ukraine,21.0,8,2.0,207.0,85,3.0,17595.0,24.0,1
2023-03-26,Malta,Italy,-159.0,-12,0.0,45.0,70,0.0,3150.0,-0.0,0
2023-03-26,Slovenia,San Marino,149.0,0,3.0,150.0,70,3.0,10500.0,0.0,1
2023-03-26,Kazakhstan,Denmark,-97.0,-9,-3.0,97.0,70,0.0,6790.0,-0.0,1
2023-03-26,Northern Ireland,Finland,-3.0,0,3.0,153.0,70,3.0,10710.0,0.0,0
2023-03-26,Liechtenstein,Iceland,-135.0,0,-0.3333333333333333,14.0,70,0.0,980.0,0.0,0
2023-03-26,Luxembourg,Portugal,-83.0,-14,-2.0,120.0,70,1.0,8400.0,-14.0,0
2023-03-26,Slovakia,Bosnia and Herzegovina,3.0,-4,-2.0,158.0,70,1.0,11060.0,-4.0,1
2023-03-26,Mexico,Jamaica,49.0,8,2.5,197.0,78,3.0,15366.0,24.0,0
2023-03-26,Antigua and Barbuda,Barbados,35.0,0,2.3333333333333335,81.0,70,3.0,5670.0,0.0,0
2023-03-26,Cuba,Guadeloupe,-68.0,0,3.0,44.0,70,3.0,3080.0,0.0,1
2023-03-26,Puerto Rico,Cayman Islands,24.0,0,2.0,42.0,70,3.0,2940.0,0.0,1
2023-03-27,Chile,Paraguay,15.0,1,0.0,181.0,76,1.0,13756.0,1.0,1
2023-03-27,Greece,Lithuania,93.0,0,3.0,161.0,70,3.0,11270.0,0.0,0
2023-03-27,North Macedonia,Faroe Islands,58.0,0,2.0,147.0,70,3.0,10290.0,0.0,1
2023-03-27,Oman,Lebanon,25.0,0,2.0,137.0,70,2.0,9590.0,0.0,1
2023-03-27,Guinea-Bissau,Nigeria,-83.0,-8,3.0,94.0,70,3.0,6580.0,-24.0,0
2023-03-27,Ethiopia,Guinea,-55.0,0,-1.5,74.0,70,1.5,5180.0,0.0,0
2023-03-27,Central African Republic,Madagascar,-30.0,0,3.0,80.0,70,3.0,5600.0,0.0,1
